year,circuit,driver,lap_number,lap_time_seconds,compound,tyre_life,is_pit_lap,track_status,lap_time_delta,tyre_age_normalised,relative_position,laps_remaining,compound_encoded,pit_in_next_3_laps
2019,Canada,BOT,37,76.558,HARD,7.0,0,1.0,-0.1979999999999933,0.18421052631578946,0.3,33,2,0
2019,Canada,BOT,38,77.087,HARD,8.0,0,1.0,0.33100000000000307,0.21052631578947367,0.25,32,2,0
2019,Canada,BOT,39,76.268,HARD,9.0,0,1.0,-0.48799999999999955,0.23684210526315788,0.25,31,2,0
2019,Canada,BOT,40,76.035,HARD,10.0,0,1.0,-0.7210000000000036,0.2631578947368421,0.25,30,2,0
2019,Canada,BOT,41,75.215,HARD,11.0,0,1.0,-1.5409999999999968,0.2894736842105263,0.25,29,2,0
2019,Canada,BOT,42,75.582,HARD,12.0,0,1.0,-1.1740000000000066,0.3157894736842105,0.25,28,2,0
2019,Canada,BOT,43,75.046,HARD,13.0,0,1.0,-1.7099999999999937,0.34210526315789475,0.25,27,2,0
2019,Canada,BOT,44,74.933,HARD,14.0,0,1.0,-1.8229999999999933,0.3684210526315789,0.25,26,2,0
2019,Canada,BOT,45,76.313,HARD,15.0,0,1.0,-0.44299999999999784,0.39473684210526316,0.25,25,2,0
2019,Canada,BOT,46,76.45,HARD,16.0,0,1.0,-0.3059999999999974,0.42105263157894735,0.25,24,2,0
2019,Canada,BOT,47,76.164,HARD,17.0,0,1.0,-0.5919999999999987,0.4473684210526316,0.25,23,2,0
2019,Canada,BOT,48,75.76,HARD,18.0,0,1.0,-0.9959999999999951,0.47368421052631576,0.2,22,2,0
2019,Canada,BOT,49,76.158,HARD,19.0,0,1.0,-0.597999999999999,0.5,0.2,21,2,0
2019,Canada,BOT,50,75.354,HARD,20.0,0,1.0,-1.402000000000001,0.5263157894736842,0.2,20,2,0
2019,Canada,BOT,51,75.561,HARD,21.0,0,1.0,-1.1949999999999932,0.5526315789473685,0.2,19,2,0
2019,Canada,BOT,52,75.493,HARD,22.0,0,1.0,-1.2630000000000052,0.5789473684210527,0.2,18,2,0
2019,Canada,BOT,53,74.895,HARD,23.0,0,1.0,-1.8610000000000042,0.6052631578947368,0.2,17,2,0
2019,Canada,BOT,54,75.318,HARD,24.0,0,1.0,-1.4380000000000024,0.631578947368421,0.2,16,2,0
2019,Canada,BOT,55,75.625,HARD,25.0,0,1.0,-1.1310000000000002,0.6578947368421053,0.2,15,2,0
2019,Canada,BOT,56,75.66,HARD,26.0,0,1.0,-1.0960000000000036,0.6842105263157895,0.2,14,2,0
2019,Canada,BOT,57,75.551,HARD,27.0,0,1.0,-1.2049999999999983,0.7105263157894737,0.2,13,2,0
2019,Canada,BOT,58,75.243,HARD,28.0,0,1.0,-1.5130000000000052,0.7368421052631579,0.2,12,2,0
2019,Canada,BOT,59,75.182,HARD,29.0,0,1.0,-1.573999999999998,0.7631578947368421,0.2,11,2,0
2019,Canada,BOT,60,75.229,HARD,30.0,0,1.0,-1.527000000000001,0.7894736842105263,0.2,10,2,0
2019,Canada,BOT,61,75.428,HARD,31.0,0,1.0,-1.328000000000003,0.8157894736842105,0.2,9,2,0
2019,Canada,BOT,62,74.903,HARD,32.0,0,1.0,-1.8529999999999944,0.8421052631578947,0.2,8,2,0
2019,Canada,BOT,63,75.093,HARD,33.0,0,1.0,-1.6629999999999967,0.868421052631579,0.2,7,2,0
2019,Canada,BOT,64,75.356,HARD,34.0,0,1.0,-1.4000000000000057,0.8947368421052632,0.2,6,2,1
2019,Canada,BOT,65,75.373,HARD,35.0,0,1.0,-1.3829999999999956,0.9210526315789473,0.2,5,2,1
2019,Canada,BOT,66,74.848,HARD,36.0,0,1.0,-1.9080000000000013,0.9473684210526315,0.2,4,2,1
2019,Canada,BOT,67,91.24,HARD,37.0,1,1.0,14.483999999999995,0.9736842105263158,0.2,3,2,0
2019,Canada,BOT,68,79.206,SOFT,3.0,0,1.0,2.450000000000003,0.16666666666666666,0.2,2,0,0
2019,Canada,BOT,69,73.078,SOFT,4.0,0,1.0,-3.6779999999999973,0.2222222222222222,0.2,1,0,0
2019,Canada,BOT,70,75.193,SOFT,5.0,0,1.0,-1.5630000000000024,0.2777777777777778,0.2,0,0,0
2019,Canada,GAS,1,85.163,SOFT,4.0,0,12.0,7.918999999999997,0.2222222222222222,0.25,69,0,0
2019,Canada,GAS,2,78.634,SOFT,5.0,0,21.0,1.3900000000000006,0.2777777777777778,0.25,68,0,0
2019,Canada,GAS,3,77.954,SOFT,6.0,0,1.0,0.7099999999999937,0.3333333333333333,0.25,67,0,0
2019,Canada,GAS,4,77.767,SOFT,7.0,0,1.0,0.5229999999999961,0.3888888888888889,0.25,66,0,1
2019,Canada,GAS,5,78.045,SOFT,8.0,0,1.0,0.8010000000000019,0.4444444444444444,0.25,65,0,1
2019,Canada,GAS,6,78.347,SOFT,9.0,0,1.0,1.1029999999999944,0.5,0.25,64,0,1
2019,Canada,GAS,7,93.794,SOFT,10.0,1,1.0,16.549999999999997,0.5555555555555556,0.65,63,0,0
2019,Canada,GAS,8,80.128,HARD,1.0,0,1.0,2.8840000000000003,0.02631578947368421,0.65,62,2,0
2019,Canada,GAS,9,77.218,HARD,2.0,0,12.0,-0.02599999999999625,0.05263157894736842,0.6,61,2,0
2019,Canada,GAS,10,78.694,HARD,3.0,0,2.0,1.4500000000000028,0.07894736842105263,0.6,60,2,0
2019,Canada,GAS,11,79.422,HARD,4.0,0,21.0,2.1779999999999973,0.10526315789473684,0.5,59,2,0
